epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5085,3.98749,19.863,1.46421,0.00182,0.04953,0.00415,0.00295,4.15404,17.7451,1.5186,0.0610399,0.000145623,0.000145623
2,41.2063,3.92347,11.9273,1.41566,0.03218,0.03669,0.03007,0.01775,4.19191,16.714,1.46776,0.0505664,0.000293226,0.000293226
3,61.3942,3.8323,9.59606,1.41672,0.1465,0.02189,0.08369,0.06199,3.88207,17.3732,1.47081,0.0400842,0.000432117,0.000432117
4,80.6432,3.85152,8.64132,1.4121,0.31539,0.04631,0.17855,0.12431,3.97229,17.0248,1.49101,0.0295933,0.000562295,0.000562295
5,100.909,3.90018,8.2886,1.41808,0.09607,0.07454,0.07319,0.03955,3.87352,16.2424,1.51043,0.0190936,0.000683761,0.000683761
6,120.778,3.85528,8.02515,1.42868,0.05789,0.18477,0.07256,0.03888,3.99521,14.6653,1.49291,0.00858531,0.000796515,0.000796515
7,140.984,3.87859,7.86473,1.43912,0.07494,0.20515,0.08523,0.04171,4.00586,13.9954,1.52138,0.000865919,0.000865919,0.000865919
8,160.812,3.82692,7.60535,1.41798,0.05115,0.29445,0.10195,0.05339,4.01977,11.2213,1.41822,0.000836878,0.000836878,0.000836878
9,181.254,3.83976,7.50616,1.41928,0.33675,0.08134,0.11583,0.05865,3.80275,9.32951,1.4303,0.000807837,0.000807837,0.000807837
10,201.317,3.81637,7.3187,1.40297,0.3647,0.14595,0.1277,0.05844,3.89471,8.01264,1.45966,0.000778796,0.000778796,0.000778796
11,221.571,3.79519,7.28164,1.41232,0.45685,0.16605,0.15728,0.07912,3.69201,7.56914,1.38221,0.000749755,0.000749755,0.000749755
12,241.878,3.79407,7.11122,1.3997,0.40399,0.1761,0.15702,0.07839,3.74036,7.16586,1.37605,0.000720713,0.000720713,0.000720713
13,262.164,3.738,6.94103,1.38874,0.40702,0.21455,0.16821,0.08418,3.67382,7.04894,1.37484,0.000691672,0.000691672,0.000691672
14,282.605,3.6887,6.90551,1.39596,0.40281,0.20889,0.17434,0.08691,3.62613,6.9636,1.36501,0.000662631,0.000662631,0.000662631
15,302.635,3.65139,6.78628,1.37242,0.44028,0.20454,0.18149,0.09128,3.6157,6.86918,1.36042,0.00063359,0.00063359,0.00063359
16,323.09,3.64818,6.73624,1.37956,0.40305,0.21367,0.16913,0.08216,3.65534,7.11921,1.38174,0.000604549,0.000604549,0.000604549
17,342.907,3.64677,6.62302,1.37621,0.43016,0.20496,0.18051,0.08816,3.61226,6.62996,1.34044,0.000575507,0.000575507,0.000575507
18,363.39,3.60334,6.5827,1.36837,0.42921,0.23052,0.19525,0.09812,3.58929,6.46884,1.3375,0.000546466,0.000546466,0.000546466
19,383.272,3.62389,6.56526,1.35547,0.43801,0.23009,0.2037,0.10324,3.53,6.42236,1.33608,0.000517425,0.000517425,0.000517425
20,403.999,3.61186,6.45665,1.35464,0.44981,0.21481,0.20321,0.10697,3.53576,6.56824,1.35687,0.000488384,0.000488384,0.000488384
21,427.542,3.52272,6.33362,1.3517,0.46383,0.22364,0.21733,0.1143,3.49294,6.36602,1.33383,0.000459343,0.000459343,0.000459343
22,446.403,3.4982,6.14712,1.35219,0.43518,0.23867,0.20828,0.10792,3.5214,6.43582,1.33847,0.000430301,0.000430301,0.000430301
23,464.503,3.47444,6.01972,1.34106,0.49555,0.21858,0.21755,0.11454,3.49029,6.20626,1.33425,0.00040126,0.00040126,0.00040126
24,483.42,3.45095,5.9387,1.34104,0.45875,0.22935,0.21791,0.11201,3.52048,6.21098,1.32942,0.000372219,0.000372219,0.000372219
25,501.639,3.43143,5.9103,1.33509,0.48953,0.23343,0.22035,0.11721,3.47574,6.1373,1.32206,0.000343178,0.000343178,0.000343178
26,519.965,3.4319,5.85624,1.33879,0.4888,0.24035,0.22298,0.1166,3.44418,6.15613,1.3171,0.000314137,0.000314137,0.000314137
27,539.005,3.40998,5.8129,1.33373,0.48681,0.25482,0.23581,0.12288,3.42166,6.0148,1.3128,0.000285096,0.000285096,0.000285096
28,557.362,3.37335,5.67826,1.33118,0.475,0.24639,0.22896,0.11991,3.42129,6.14239,1.30628,0.000256054,0.000256054,0.000256054
29,575.986,3.34433,5.60599,1.31464,0.48463,0.24349,0.24111,0.12659,3.38271,5.92225,1.30134,0.000227013,0.000227013,0.000227013
30,594.307,3.35841,5.52238,1.31596,0.49335,0.24478,0.24085,0.12632,3.40329,5.94983,1.30558,0.000197972,0.000197972,0.000197972
