epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5211,1.69352,3.79369,1.22812,0.25916,0.08685,0.07318,0.04188,1.46498,2.43104,1.06692,0.000635413,0.000635413,0.000635413
2,25.6583,1.55304,2.18441,1.1707,0.45575,0.22232,0.21767,0.12786,1.39204,1.32983,1.04221,0.000572507,0.000572507,0.000572507
3,35.6333,1.44938,1.4293,1.107,0.60389,0.25504,0.24764,0.14297,1.39391,1.16995,1.03502,0.000509601,0.000509601,0.000509601
4,45.7983,1.40027,1.24266,1.07075,0.48573,0.28956,0.27284,0.15873,1.36064,1.0758,1.01867,0.000446695,0.000446695,0.000446695
5,55.3624,1.36312,1.14257,1.04696,0.50998,0.3258,0.30596,0.17799,1.32662,1.00545,1.00613,0.000383789,0.000383789,0.000383789
6,11.4383,1.34749,1.16176,1.06044,0.53349,0.34639,0.3163,0.18062,1.32574,1.14642,1.00591,0.000320883,0.000320883,0.000320883
7,21.1568,1.35191,1.08994,1.05885,0.56859,0.33555,0.3303,0.19008,1.31552,1.00652,1.00162,0.000257978,0.000257978,0.000257978
8,31.6323,1.32352,1.02803,1.04419,0.58956,0.32799,0.3436,0.19723,1.31212,0.95192,0.99689,0.000195072,0.000195072,0.000195072
9,42.4366,1.31871,1.01979,1.0352,0.58093,0.33815,0.35028,0.20368,1.29841,0.92451,0.9938,0.000132166,0.000132166,0.000132166
10,53.5436,1.29987,0.98751,1.03553,0.57258,0.34653,0.35459,0.20635,1.29071,0.90781,0.99097,6.926e-05,6.926e-05,6.926e-05
